admin_request_id,created_at,completed_at,user_email,category,priority,status,subject,description
ADM-30014,2025-03-04 20:45:41,,staff635@novaedge.com,Asset Request,Medium,Open,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30015,2025-10-04 16:20:39,,staff245@novaedge.com,Badge Access,Low,Assigned,Book meeting room A for 2026-01-04 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-04 10:00-11:00 for client meeting.
ADM-30016,2025-04-15 14:09:41,2025-06-11 08:12:02,staff102@novaedge.com,Visitor Request,Low,Cancelled,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.
ADM-30017,2025-01-01 15:36:54,2025-01-03 17:39:30,staff900@novaedge.com,Asset Request,Medium,Completed,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30018,2024-12-16 18:36:08,2025-06-30 05:11:31,staff783@novaedge.com,Travel Request,Medium,Cancelled,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30019,2025-10-29 20:58:46,2025-10-05 00:58:52,staff338@novaedge.com,Asset Request,Medium,Cancelled,Requesting an additional monitor for staff338@novaedge.com.,Requesting an additional monitor for staff338@novaedge.com.
ADM-30020,2025-06-06 22:57:05,,staff986@novaedge.com,Travel Request,Medium,Open,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30021,2025-05-23 14:45:58,,staff297@novaedge.com,Meeting Room Booking,High,Open,Book meeting room A for 2025-12-24 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-24 10:00-11:00 for client meeting.
ADM-30022,2025-08-28 08:11:41,,staff223@novaedge.com,Badge Access,High,Open,Book meeting room A for 2025-12-27 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-27 10:00-11:00 for client meeting.
ADM-30023,2025-06-17 02:54:21,2025-05-12 13:30:25,staff186@novaedge.com,Visitor Request,High,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30024,2025-04-02 14:37:09,2024-12-17 09:34:58,staff284@novaedge.com,Meeting Room Booking,Medium,Cancelled,Requesting an additional monitor for staff284@novaedge.com.,Requesting an additional monitor for staff284@novaedge.com.
ADM-30025,2025-03-06 03:43:13,,staff392@novaedge.com,Meeting Room Booking,High,Assigned,Book meeting room A for 2025-11-24 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-24 10:00-11:00 for client meeting.
ADM-30026,2025-03-02 22:53:46,,staff160@novaedge.com,Badge Access,High,Assigned,Book meeting room A for 2025-12-24 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-24 10:00-11:00 for client meeting.
ADM-30027,2024-12-03 02:39:19,,staff522@novaedge.com,Meeting Room Booking,Medium,Assigned,New badge access required for Staff 133 to enter building after hours.,New badge access required for Staff 133 to enter building after hours.
ADM-30028,2024-12-06 07:20:21,,staff604@novaedge.com,Visitor Request,High,Assigned,Book meeting room A for 2025-12-17 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-17 10:00-11:00 for client meeting.
ADM-30029,2025-10-13 16:31:21,2024-11-20 23:20:20,staff167@novaedge.com,Badge Access,High,Cancelled,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30030,2025-06-09 14:02:05,,staff352@novaedge.com,Asset Request,High,Open,"Visitor incoming: Mr. Garcia on 2026-01-02 for interview, needs access","Visitor incoming: Mr. Garcia on 2026-01-02 for interview, needs access card."
ADM-30031,2025-05-29 09:00:54,,staff901@novaedge.com,Badge Access,Low,Assigned,"Visitor incoming: Mr. Smith on 2025-11-24 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-11-24 for interview, needs access card."
ADM-30032,2025-07-10 12:59:55,2025-01-14 06:27:59,staff142@novaedge.com,Badge Access,High,Cancelled,Requesting an additional monitor for staff142@novaedge.com.,Requesting an additional monitor for staff142@novaedge.com.
ADM-30033,2025-06-15 18:11:50,2025-05-19 10:40:48,staff712@novaedge.com,Meeting Room Booking,Medium,Completed,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30034,2025-08-05 19:50:57,,staff407@novaedge.com,Meeting Room Booking,Low,Open,Book meeting room A for 2025-11-20 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-20 10:00-11:00 for client meeting.
ADM-30035,2025-07-04 00:17:28,,staff725@novaedge.com,Stationery,Medium,Assigned,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30036,2025-10-30 04:58:44,2025-03-14 01:29:18,staff351@novaedge.com,Travel Request,Medium,Completed,"Visitor incoming: Mr. Smith on 2025-12-27 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-12-27 for interview, needs access card."
ADM-30037,2025-04-13 23:30:40,,staff723@novaedge.com,Travel Request,Low,Open,Book meeting room A for 2025-12-15 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-15 10:00-11:00 for client meeting.
ADM-30038,2025-05-29 18:46:16,2025-10-05 23:08:07,staff880@novaedge.com,Travel Request,High,Cancelled,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30039,2025-04-04 08:08:31,,staff461@novaedge.com,Travel Request,Medium,Open,Requesting an additional monitor for staff461@novaedge.com.,Requesting an additional monitor for staff461@novaedge.com.
ADM-30040,2025-08-12 10:08:54,,staff573@novaedge.com,Travel Request,Low,Open,Book meeting room A for 2025-12-08 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-08 10:00-11:00 for client meeting.
ADM-30041,2025-02-07 16:18:09,2025-05-13 09:58:01,staff296@novaedge.com,Stationery,High,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30042,2025-11-08 10:21:06,2025-07-05 04:54:12,staff604@novaedge.com,Stationery,Low,Completed,Book meeting room A for 2026-01-11 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-11 10:00-11:00 for client meeting.
ADM-30043,2025-07-17 12:27:39,2025-06-22 06:14:33,staff274@novaedge.com,Meeting Room Booking,Medium,Cancelled,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30044,2025-10-01 17:47:24,,staff863@novaedge.com,Visitor Request,Low,Assigned,Requesting an additional monitor for staff863@novaedge.com.,Requesting an additional monitor for staff863@novaedge.com.
ADM-30045,2025-06-26 10:50:33,,staff968@novaedge.com,Travel Request,Medium,Assigned,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30046,2025-09-18 08:38:06,2025-04-11 16:26:09,staff102@novaedge.com,Travel Request,High,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30047,2024-12-01 07:36:48,2025-10-15 09:18:45,staff607@novaedge.com,Meeting Room Booking,High,Cancelled,Book meeting room A for 2025-12-08 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-08 10:00-11:00 for client meeting.
ADM-30048,2025-09-04 23:25:04,2025-11-10 14:55:17,staff105@novaedge.com,Asset Request,Medium,Completed,Book meeting room A for 2025-12-10 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-10 10:00-11:00 for client meeting.
ADM-30049,2025-03-07 14:51:44,2025-06-30 15:54:59,staff176@novaedge.com,Visitor Request,High,Cancelled,"Visitor incoming: Mr. Patel on 2026-01-12 for interview, needs access ","Visitor incoming: Mr. Patel on 2026-01-12 for interview, needs access card."
ADM-30050,2025-09-16 23:02:58,2025-02-12 09:16:06,staff542@novaedge.com,Meeting Room Booking,Low,Cancelled,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30051,2025-08-24 07:46:06,2025-06-28 07:36:22,staff952@novaedge.com,Badge Access,Low,Completed,"Visitor incoming: Mr. Smith on 2025-11-18 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-11-18 for interview, needs access card."
ADM-30052,2025-03-31 22:11:04,2025-10-05 01:20:11,staff692@novaedge.com,Meeting Room Booking,High,Cancelled,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-22 10:00-11:00 for client meeting.
ADM-30053,2025-06-30 17:35:08,,staff163@novaedge.com,Travel Request,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30054,2024-12-19 03:40:34,,staff672@novaedge.com,Meeting Room Booking,Low,Open,New badge access required for Staff 436 to enter building after hours.,New badge access required for Staff 436 to enter building after hours.
ADM-30055,2025-06-28 04:39:45,,staff564@novaedge.com,Badge Access,Low,Open,New badge access required for Staff 408 to enter building after hours.,New badge access required for Staff 408 to enter building after hours.
ADM-30056,2024-12-21 15:45:52,,staff564@novaedge.com,Stationery,High,Open,"Visitor incoming: Mr. Smith on 2025-12-18 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-12-18 for interview, needs access card."
ADM-30057,2025-07-04 19:30:33,,staff707@novaedge.com,Asset Request,High,Open,Requesting an additional monitor for staff707@novaedge.com.,Requesting an additional monitor for staff707@novaedge.com.
ADM-30058,2025-01-03 10:12:57,2024-11-30 06:15:47,staff592@novaedge.com,Stationery,Medium,Cancelled,"Visitor incoming: Mr. Garcia on 2025-12-31 for interview, needs access","Visitor incoming: Mr. Garcia on 2025-12-31 for interview, needs access card."
ADM-30059,2025-08-24 05:32:42,2025-01-06 23:30:23,staff625@novaedge.com,Visitor Request,Medium,Cancelled,Requesting an additional monitor for staff625@novaedge.com.,Requesting an additional monitor for staff625@novaedge.com.
ADM-30060,2024-12-05 02:18:20,2025-05-18 06:28:04,staff398@novaedge.com,Stationery,High,Completed,Requesting an additional monitor for staff398@novaedge.com.,Requesting an additional monitor for staff398@novaedge.com.
ADM-30061,2025-03-18 20:11:52,2025-07-15 22:39:28,staff452@novaedge.com,Asset Request,Low,Cancelled,"Visitor incoming: Mr. Patel on 2025-11-27 for interview, needs access ","Visitor incoming: Mr. Patel on 2025-11-27 for interview, needs access card."
ADM-30062,2025-10-31 16:39:05,2025-06-27 01:15:59,staff714@novaedge.com,Travel Request,High,Cancelled,Requesting an additional monitor for staff714@novaedge.com.,Requesting an additional monitor for staff714@novaedge.com.
ADM-30063,2025-07-05 07:48:08,,staff207@novaedge.com,Badge Access,Medium,Assigned,"Visitor incoming: Mr. Kumar on 2025-12-14 for interview, needs access ","Visitor incoming: Mr. Kumar on 2025-12-14 for interview, needs access card."
ADM-30064,2025-09-04 19:53:59,2025-03-31 09:11:25,staff738@novaedge.com,Travel Request,Low,Cancelled,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30065,2024-12-26 05:15:40,,staff471@novaedge.com,Badge Access,Low,Open,Book meeting room A for 2025-11-15 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-15 10:00-11:00 for client meeting.
ADM-30066,2025-01-25 09:09:00,,staff746@novaedge.com,Stationery,Medium,Assigned,Book meeting room A for 2025-12-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-22 10:00-11:00 for client meeting.
ADM-30067,2025-01-18 08:13:33,2024-11-22 00:28:23,staff836@novaedge.com,Visitor Request,Low,Completed,Requesting an additional monitor for staff836@novaedge.com.,Requesting an additional monitor for staff836@novaedge.com.
ADM-30068,2025-03-17 16:26:26,,staff951@novaedge.com,Stationery,Low,Open,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30069,2025-11-05 19:36:55,2025-11-13 08:00:38,staff345@novaedge.com,Visitor Request,Medium,Cancelled,"Visitor incoming: Mr. Smith on 2025-12-08 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-12-08 for interview, needs access card."
ADM-30070,2025-05-27 13:22:56,,staff221@novaedge.com,Badge Access,High,Open,"Visitor incoming: Mr. Patel on 2025-11-24 for interview, needs access ","Visitor incoming: Mr. Patel on 2025-11-24 for interview, needs access card."
ADM-30071,2025-06-16 13:10:39,2025-09-22 01:03:27,staff713@novaedge.com,Travel Request,Medium,Completed,Book meeting room A for 2025-12-12 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-12 10:00-11:00 for client meeting.
ADM-30072,2025-11-02 15:14:58,2025-10-03 12:06:41,staff353@novaedge.com,Stationery,Low,Completed,"Visitor incoming: Mr. Smith on 2025-11-18 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-11-18 for interview, needs access card."
ADM-30073,2025-04-04 20:05:52,,staff903@novaedge.com,Visitor Request,High,Open,"Visitor incoming: Mr. Garcia on 2025-12-15 for interview, needs access","Visitor incoming: Mr. Garcia on 2025-12-15 for interview, needs access card."
ADM-30074,2025-05-24 23:22:11,2025-05-09 13:53:07,staff610@novaedge.com,Travel Request,High,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30075,2025-02-02 07:15:12,2025-01-27 06:29:14,staff695@novaedge.com,Badge Access,Medium,Completed,Book meeting room A for 2025-12-10 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-10 10:00-11:00 for client meeting.
ADM-30076,2025-02-15 01:52:45,,staff413@novaedge.com,Visitor Request,Medium,Assigned,"Visitor incoming: Mr. Lee on 2025-12-12 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-12-12 for interview, needs access card."
ADM-30077,2024-11-29 04:36:54,,staff402@novaedge.com,Meeting Room Booking,Low,Open,"Visitor incoming: Mr. Garcia on 2025-12-13 for interview, needs access","Visitor incoming: Mr. Garcia on 2025-12-13 for interview, needs access card."
ADM-30078,2025-09-03 19:39:44,2025-03-09 21:18:07,staff536@novaedge.com,Asset Request,High,Completed,New badge access required for Staff 222 to enter building after hours.,New badge access required for Staff 222 to enter building after hours.
ADM-30079,2025-10-09 05:07:53,,staff552@novaedge.com,Badge Access,Low,Assigned,Book meeting room A for 2025-11-29 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-29 10:00-11:00 for client meeting.
ADM-30080,2025-03-25 15:52:41,,staff904@novaedge.com,Stationery,High,Open,Book meeting room A for 2025-12-02 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-02 10:00-11:00 for client meeting.
ADM-30081,2025-01-22 18:13:51,2025-06-22 15:32:28,staff301@novaedge.com,Asset Request,Low,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30082,2025-10-25 09:32:33,2025-09-10 03:42:29,staff108@novaedge.com,Visitor Request,High,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30083,2025-02-05 00:04:39,2025-08-14 14:38:38,staff769@novaedge.com,Travel Request,Low,Cancelled,New badge access required for Staff 444 to enter building after hours.,New badge access required for Staff 444 to enter building after hours.
ADM-30084,2025-09-18 21:25:32,2025-04-19 16:25:46,staff839@novaedge.com,Badge Access,Low,Cancelled,Book meeting room A for 2026-01-06 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-06 10:00-11:00 for client meeting.
ADM-30085,2025-06-12 23:10:37,,staff549@novaedge.com,Travel Request,Medium,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30086,2025-04-18 13:30:16,,staff611@novaedge.com,Visitor Request,Medium,Open,"Visitor incoming: Mr. Smith on 2026-01-05 for interview, needs access ","Visitor incoming: Mr. Smith on 2026-01-05 for interview, needs access card."
ADM-30087,2025-01-09 06:32:18,2025-10-27 21:18:28,staff433@novaedge.com,Badge Access,High,Completed,Book meeting room A for 2025-12-22 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-22 10:00-11:00 for client meeting.
ADM-30088,2025-01-21 22:02:59,2024-12-23 19:52:30,staff490@novaedge.com,Stationery,High,Cancelled,Requesting an additional monitor for staff490@novaedge.com.,Requesting an additional monitor for staff490@novaedge.com.
ADM-30089,2024-11-25 21:02:28,2025-07-23 16:03:29,staff195@novaedge.com,Asset Request,Medium,Completed,Requesting an additional monitor for staff195@novaedge.com.,Requesting an additional monitor for staff195@novaedge.com.
ADM-30090,2025-02-28 10:17:15,,staff303@novaedge.com,Badge Access,Low,Assigned,"Visitor incoming: Mr. Lee on 2025-11-19 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-11-19 for interview, needs access card."
ADM-30091,2025-09-23 23:14:22,2025-04-13 03:20:51,staff158@novaedge.com,Asset Request,Low,Cancelled,"Visitor incoming: Mr. Garcia on 2025-12-08 for interview, needs access","Visitor incoming: Mr. Garcia on 2025-12-08 for interview, needs access card."
ADM-30092,2025-10-28 18:51:02,,staff649@novaedge.com,Visitor Request,Low,Assigned,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.
ADM-30093,2025-10-22 23:11:39,,staff417@novaedge.com,Visitor Request,Low,Assigned,Requesting an additional monitor for staff417@novaedge.com.,Requesting an additional monitor for staff417@novaedge.com.
ADM-30094,2025-09-11 03:32:48,2025-06-22 22:40:36,staff382@novaedge.com,Asset Request,Low,Cancelled,New badge access required for Staff 74 to enter building after hours.,New badge access required for Staff 74 to enter building after hours.
ADM-30095,2024-11-28 10:35:09,2024-12-17 10:15:45,staff682@novaedge.com,Visitor Request,High,Completed,New badge access required for Staff 236 to enter building after hours.,New badge access required for Staff 236 to enter building after hours.
ADM-30096,2025-04-14 16:03:55,2025-01-18 17:18:26,staff817@novaedge.com,Travel Request,Medium,Completed,Requesting an additional monitor for staff817@novaedge.com.,Requesting an additional monitor for staff817@novaedge.com.
ADM-30097,2025-04-06 19:42:45,2025-10-25 08:25:27,staff568@novaedge.com,Asset Request,High,Cancelled,Requesting an additional monitor for staff568@novaedge.com.,Requesting an additional monitor for staff568@novaedge.com.
ADM-30098,2025-10-11 20:44:04,2025-04-13 06:59:59,staff743@novaedge.com,Visitor Request,Low,Completed,Book meeting room A for 2025-12-19 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-19 10:00-11:00 for client meeting.
ADM-30099,2025-04-27 18:24:08,2025-02-14 10:26:19,staff178@novaedge.com,Asset Request,Low,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30100,2025-09-22 12:46:33,2025-04-07 23:04:12,staff127@novaedge.com,Asset Request,Low,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30101,2025-05-10 02:41:38,,staff826@novaedge.com,Meeting Room Booking,Medium,Open,Travel request: approval for client visit to New York next month.,Travel request: approval for client visit to New York next month.
ADM-30102,2025-01-15 10:33:48,,staff830@novaedge.com,Meeting Room Booking,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30103,2025-01-14 15:51:16,,staff281@novaedge.com,Meeting Room Booking,High,Open,Travel request: approval for client visit to New York next month.,Travel request: approval for client visit to New York next month.
ADM-30104,2025-10-06 00:08:50,2025-05-27 11:08:26,staff257@novaedge.com,Travel Request,Low,Completed,"Visitor incoming: Mr. Smith on 2025-12-13 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-12-13 for interview, needs access card."
ADM-30105,2025-04-05 18:01:12,,staff956@novaedge.com,Badge Access,High,Open,Travel request: approval for client visit to Bengaluru next month.,Travel request: approval for client visit to Bengaluru next month.
ADM-30106,2025-10-19 04:40:16,,staff712@novaedge.com,Stationery,Medium,Open,New badge access required for Staff 396 to enter building after hours.,New badge access required for Staff 396 to enter building after hours.
ADM-30107,2025-09-09 16:00:56,,staff193@novaedge.com,Stationery,Low,Assigned,Book meeting room A for 2025-11-16 10:00-11:00 for client meeting.,Book meeting room A for 2025-11-16 10:00-11:00 for client meeting.
ADM-30108,2025-08-05 10:32:37,,staff325@novaedge.com,Travel Request,High,Open,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30109,2025-06-30 04:20:30,,staff935@novaedge.com,Meeting Room Booking,Medium,Open,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30110,2025-01-16 13:07:40,2025-04-09 22:56:42,staff223@novaedge.com,Asset Request,Medium,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30111,2025-07-09 09:43:16,2025-03-28 20:28:03,staff317@novaedge.com,Stationery,Low,Cancelled,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30112,2025-08-29 23:38:19,2025-10-16 18:53:04,staff408@novaedge.com,Meeting Room Booking,Low,Cancelled,Book meeting room A for 2026-01-03 10:00-11:00 for client meeting.,Book meeting room A for 2026-01-03 10:00-11:00 for client meeting.
ADM-30113,2025-07-19 14:36:42,2025-11-04 02:08:12,staff197@novaedge.com,Asset Request,Low,Completed,Travel request: approval for client visit to New York next month.,Travel request: approval for client visit to New York next month.
ADM-30114,2024-12-08 19:37:16,2024-11-20 14:48:23,staff279@novaedge.com,Travel Request,Low,Completed,Travel request: approval for client visit to New York next month.,Travel request: approval for client visit to New York next month.
ADM-30115,2025-02-07 01:49:51,2025-06-27 03:25:03,staff623@novaedge.com,Asset Request,Medium,Cancelled,Requesting an additional monitor for staff623@novaedge.com.,Requesting an additional monitor for staff623@novaedge.com.
ADM-30116,2025-01-03 09:11:20,,staff855@novaedge.com,Meeting Room Booking,Medium,Assigned,Book meeting room A for 2025-12-12 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-12 10:00-11:00 for client meeting.
ADM-30117,2025-10-17 05:16:01,,staff255@novaedge.com,Badge Access,Medium,Assigned,Book meeting room A for 2025-12-09 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-09 10:00-11:00 for client meeting.
ADM-30118,2025-08-30 04:11:38,2025-04-14 14:40:09,staff237@novaedge.com,Asset Request,Medium,Completed,Book meeting room A for 2025-12-02 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-02 10:00-11:00 for client meeting.
ADM-30119,2025-05-30 00:34:26,,staff967@novaedge.com,Stationery,Low,Assigned,"Visitor incoming: Mr. Smith on 2025-12-31 for interview, needs access ","Visitor incoming: Mr. Smith on 2025-12-31 for interview, needs access card."
ADM-30120,2025-04-24 15:17:04,,staff722@novaedge.com,Travel Request,Low,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30121,2024-12-30 00:07:02,2025-01-16 13:36:12,staff171@novaedge.com,Meeting Room Booking,Low,Cancelled,"Visitor incoming: Mr. Kumar on 2025-11-27 for interview, needs access ","Visitor incoming: Mr. Kumar on 2025-11-27 for interview, needs access card."
ADM-30122,2025-01-13 02:14:03,,staff619@novaedge.com,Asset Request,Low,Assigned,New badge access required for Staff 372 to enter building after hours.,New badge access required for Staff 372 to enter building after hours.
ADM-30123,2025-04-26 19:03:31,2025-07-04 04:05:31,staff280@novaedge.com,Visitor Request,Low,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30124,2025-04-17 11:01:51,,staff468@novaedge.com,Stationery,Medium,Open,New badge access required for Staff 86 to enter building after hours.,New badge access required for Staff 86 to enter building after hours.
ADM-30125,2025-09-21 21:36:46,2025-08-18 03:48:07,staff878@novaedge.com,Asset Request,High,Cancelled,New badge access required for Staff 11 to enter building after hours.,New badge access required for Staff 11 to enter building after hours.
ADM-30126,2025-03-05 19:25:31,,staff666@novaedge.com,Stationery,High,Assigned,New badge access required for Staff 132 to enter building after hours.,New badge access required for Staff 132 to enter building after hours.
ADM-30127,2025-01-09 15:35:21,2025-01-22 09:19:30,staff173@novaedge.com,Stationery,Medium,Cancelled,New badge access required for Staff 367 to enter building after hours.,New badge access required for Staff 367 to enter building after hours.
ADM-30128,2025-04-03 08:22:15,2025-03-06 12:37:33,staff603@novaedge.com,Meeting Room Booking,High,Completed,New badge access required for Staff 482 to enter building after hours.,New badge access required for Staff 482 to enter building after hours.
ADM-30129,2025-01-24 01:38:31,2025-04-22 10:10:23,staff139@novaedge.com,Asset Request,Low,Cancelled,Requesting an additional monitor for staff139@novaedge.com.,Requesting an additional monitor for staff139@novaedge.com.
ADM-30130,2025-07-26 09:09:09,2025-07-09 18:08:33,staff621@novaedge.com,Stationery,High,Completed,Travel request: approval for client visit to San Francisco next month.,Travel request: approval for client visit to San Francisco next month.
ADM-30131,2025-07-26 18:03:09,,staff348@novaedge.com,Badge Access,High,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30132,2025-06-13 06:28:38,2025-07-14 00:37:11,staff719@novaedge.com,Travel Request,Low,Completed,"Visitor incoming: Mr. Patel on 2025-12-14 for interview, needs access ","Visitor incoming: Mr. Patel on 2025-12-14 for interview, needs access card."
ADM-30133,2025-11-04 17:43:06,,staff889@novaedge.com,Visitor Request,Low,Open,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
